Name,ParentOrg,OrgID,Address,Latitude,Longitude,Geocoder Display Name
ABN AMRO Australia Library,ABN AMRO Australia,9521,"ABN AMRO Tower, Level 26 88 Phillip Street SYDNEY NSW 2000 AUSTRALIA",,,
ACAP Library (Sydney),ACAP University College,4177,"Level 8, 255 Elizabeth Street SYDNEY NSW 2000 AUSTRALIA",,,
ACCC Library,Australian Competition and Consumer Commission,6437,23 Marcus Clarke St. Canberra ACT 2601 AUSTRALIA,-35.284357650000004,149.12460429404808,"NewActon East, 23, Marcus Clarke Street, New Acton, City, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia"
ACCESS ministries Resource Centre,ACCESS ministries,8002,Level 2 695 Burke Road CAMBERWELL VIC 3124 AUSTRALIA,,,
ACCI Library Canberra,Australian Chamber of Commerce and Industry,8482,"Level 3, Commerce House 24 Brisbane Avenue BARTON ACT 2600 AUSTRALIA",,,
ACCI Library Melbourne,Australian Chamber of Commerce and Industry,8481,"Level 4, 55 Exhibition Street MELBOURNE VIC 3000 AUSTRALIA",,,
ACIAR Library,Australian Centre for International Agricultural Research,203,"ACIAR House, 38 Thynne St, Fern Hill Park BRUCE ACT 2617 AUSTRALIA",,,
ACIL Allen,ACIL Allen,226597,"Level 19, 80 Collins Strett North Tower MELBOURNE VIC 3000 AUSTRALIA",,,
ACL Library,Australian Centre for Languages,8594,Level 4 11 York Street SYDNEY NSW 2000 AUSTRALIA,,,
ACNT Library,Australian Council of National Trusts,8556,14/71 Constitution Avenue CAMPBELL ACT 2612 AUSTRALIA,-35.2907972,149.1437279,"Constitution Avenue, Campbell, Canberra, District of Canberra Central, Australian Capital Territory, 2612, Australia"
ACON Knowledge Centre,AIDS Council of New South Wales,9522,414 Elizabeth Street SURRY HILLS NSW 2010 AUSTRALIA,-33.8898239,151.2079347,"Elizabeth Street, Strawberry Hills, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
ACOSS Library,Australian Council of Social Service,9529,Level 2 619 Elizabeth Street REDFERN NSW 2016 AUSTRALIA,,,
ACT Branch Library,Australian Nursing and Midwifery Federation,785,"Unit 3, 36 Botany Street BOTANY ACT 2606 AUSTRALIA",,,
ACT Branch Library,National Trust of Australia (ACT),6874,2 Light Street GRIFFITH ACT 2603 AUSTRALIA,-35.3213781,149.1361818,"Light Street, Manuka, Griffith, South Canberra, District of Canberra Central, Australian Capital Territory, 2603, Australia"
ACT Family Planning Library,Sexual Health and Family Planning ACT,8003,Level One 28 University Avenue CANBERRA ACT 2601 AUSTRALIA,,,
ACT Heritage Library,Libraries ACT,6026,255 Canberra Avenue FYSHWICK ACT 2606 AUSTRALIA,-35.33168485,149.1654064263193,"ACT Heritage Library, 255, Canberra Avenue, Fyshwick, Canberra, District of Canberra Central, Australian Capital Territory, 2609, Australia"
ACT Legislative Assembly Library,,5796,"Level 1, North Building 180 London Circuit CANBERRA ACT 2601 AUSTRALIA",,,
ACT Met Office Library,Bureau of Meteorology,1436,C/- National Meteorological Library 700 Collins Street DOCKLANDS VIC 3008 AUSTRALIA,,,
ACTT Library,Actors College of Theatre and Television,2308,St Laurence Arts Centre 505 Pitt Street SYDNEY NSW 2000 AUSTRALIA,,,
ACU Art collection,Australian Catholic University,341580,"ACU Art Collection, Office of the Vice-Chancellor and President 24 Brunswick Street Fitzroy VIC 3065 AUSTRALIA",,,
ACU Research Bank,Australian Catholic University,338397,ACU RB ACU RB ACT 2612 AUSTRALIA,,,
ADEC Library,Action on Disability within Ethnic Communities,11436,175 Plentry Road PRESTON VIC 3072 AUSTRALIA,,,
ADHS Library,Alfred Deakin High School,5920,Denison Street DEAKIN ACT 2600 AUSTRALIA,-35.3147225,149.0982709,"Denison Street, Deakin, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia"
AEMO - Information Centre,National Electricity Market Management Company,16437,"Lvl 22, 6 O'Connell Street SYDNEY NSW 2000 AUSTRALIA",,,
AEU Victorian Branch Information Services,Australian Education Union (Victorian Branch),4425,112 Trenerry Crescent ABBOTSFORD VIC 3067 AUSTRALIA,-37.797062100000005,144.99805727588586,"Australian Education Union (Victorian Branch), 112-114, Trenerry Crescent, Abbotsford, Melbourne, City of Yarra, Victoria, 3067, Australia"
AFI Research Collection,RMIT University,9642,"AFI Research Collection, School of Media and Communication, RMIT University Building 8, Level 5, City Campus MELBOURNE VIC 3000 AUSTRALIA",,,
AFP Library,Australian Federal Police,3993,9 Brisbane Avenue BARTON ACT 2600 AUSTRALIA,-35.3086372,149.1296685,"Brisbane Avenue, Barton, South Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia"
AGEN Biomedical Library,Agen Ltd.,1819,"7 Durbell Street, Acacia Ridge BRISBANE QLD 4110 AUSTRALIA",-27.5928108,153.0328195,"7, Durbell Street, Acacia Ridge, Brisbane City, Queensland, 4110, Australia"
AH Bracks Library,City of Melville,5256,Corner of Stock Road & Canning Highway MELVILLE WA 6156 AUSTRALIA,,,
AIATSIS Collections,Australian Institute of Aboriginal and Torres Strait Islander Studies,5145,Lawson Crescent ACTON ACT 2601 AUSTRALIA,-35.2860548,149.1218412,"Lawson Crescent, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia"
AIFS Library,Australian Institute of Family Studies,6931,Level 4 40 City Road SOUTHBANK VIC 3006 AUSTRALIA,,,
AIHW Library,Australian Institute of Health and Welfare,9702,6a Traeger Court 26 Thynne Street BRUCE ACT 2617 AUSTRALIA,,,
AIJA Library,Australasian Institute of Judicial Administration,11396,"1st Floor, 472 Bourke Street MELBOURNE VIC 3000 AUSTRALIA",,,
AIM Graduate Studies Library,Australian Institute of Management QLD & NT,9487,Management House Cnr Boundary & Rosa Streets SPRING HILL QLD 4000 AUSTRALIA,,,
AIM Information Resource Centre,Australian Institute of Management,6275,"Ground Floor, Management House 181 Fitzroy Street ST KILDA VIC 3182 AUSTRALIA",,,
AIR Library,Australian Industrial Registry,9605,Level 7 Terrace Towers 80 William Street EAST SYDNEY NSW 2011 AUSTRALIA,,,
ALS Library Services Pty Ltd,,325057,12-14 Tooronga Avenue EDWARDSTOWN SA 5039 AUSTRALIA,-34.9922801,138.5713367,"Tooronga Avenue, Edwardstown, Adelaide, City of Marion, South Australia, 5039, Australia"
ALTEC Library,"Australian Learning, Teaching and Education Centre",336539,Level 1 574 St Kilda Road Melbourne VIC 3004 AUSTRALIA,,,
AMA(SA),Australian Medical Association (South Australia) Inc,16206,SA AUSTRALIA,38.908008499999994,-77.03702950695396,"Embassy of Australia, 1601, Massachusetts Avenue Northwest, Dupont Circle, Ward 2, Washington, District of Columbia, 20036, United States"
AMEC Foster Wheeler Mining & Metals: Resource Centre,,332417,"Level 7, 197 St Georges Terrace PERTH WA 6000 AUSTRALIA",,,
AMES Library,Adult Migrant Education Service,7442,"255 William St., MELBOURNE VIC 3000 AUSTRALIA",-37.8131093,144.9567905,"Petty Sessions Cafe, 255, William Street, Melbourne, City of Melbourne, Victoria, 3000, Australia"
AMPCo Library,Australasian Medical Publishing Company,7079,AMPCo House 277 Clarence Street Sydney NSW 2000 AUSTRALIA,,,
ANSTO Library,Australian Nuclear Science and Technology Organisation,6019,New Illawarra Road LUCAS HEIGHTS NSW 2234 AUSTRALIA,-34.0446069,150.9923137,"New Illawarra Road, Lucas Heights, Sutherland Shire, Sydney, Sutherland Shire Council, New South Wales, 2234, Australia"
ANT Photo Library,D.R. Graphics Pty. Ltd.,5906,Suite 7 112a Martin Street Brighton VIC 3186 AUSTRALIA,,,
ANTA Library,Australian National Training Authority,8794,"Level 11, 10 Eagle Street BRISBANE QLD 4001 AUSTRALIA",,,
ANU Archives Program,Australian National University,16375,"R G Menzies Building [ANU Bldg 2] Fellows Road, The Australian National University ACTON ACT 2601 AUSTRALIA",,,
ANU Campus,University Co-operative Bookshop Ltd,16165,Australian National University CANBERRA ACT 2600 AUSTRALIA,-35.2813935,149.11714511802117,"Australian National University, LBG, Yukeembruk Village, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia"
ANZ Research and Information Services,ANZ Banking Group Ltd.,2337,Level 10 100 Queen Street MELBOURNE VIC 3000 AUSTRALIA,,,
ANZCA Institutional Repository,Australian and New Zealand College of Anaesthetists,340357,630 St Kilda Road MELBOURNE VIC 3004 AUSTRALIA,-37.8538964,144.9813849,"Geoffrey Kaye Museum of Anaesthetic History, 630, St Kilda Road, Melbourne, City of Port Phillip, Victoria, 3004, Australia"
ANZCA Library,Australian and New Zealand College of Anaesthetists,6614,630 St Kilda Road MELBOURNE VIC 3004 AUSTRALIA,-37.8538964,144.9813849,"Geoffrey Kaye Museum of Anaesthetic History, 630, St Kilda Road, Melbourne, City of Port Phillip, Victoria, 3004, Australia"
AOY Youth Ministry library,Archdiocesan Office for Youth,197,Thomas Carr Centre 278 Victoria Parade EAST MELBOURNE VIC 3002 AUSTRALIA,,,
APACE Knowledge Centre,Appropriate Technology Development Group,4734,Winter House 1 Johannah Street NORTH FREMANTLE WA 6159 AUSTRALIA,-32.036433200000005,115.75830215750301,"Winter House, 1, Johannah Street, North Fremantle, City of Fremantle, Western Australia, 6159, Australia"
APLA Library,Australian Plaintiff Lawyers Association Ltd,11392,SURRY HILLS NSW AUSTRALIA,-33.8845123,151.2100301,"Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
APSCAN Library,APSCAN,8986,6/17 Chester Street CAMPERDOWN NSW 2050 AUSTRALIA,,,
ARAFMI Library,ARAFMI Mental health Carers and Friends Association (WA),4860,"1st Floor, 275 Stirling Street PERTH WA 6000 AUSTRALIA",,,
ARDS Library,Aboriginal Resource and Development Services Inc.,4701,191 Stuart Hwy Parap NT 0804 AUSTRALIA,,,
ARHS Railway Research Centre,Australian Railway Historical Society,17235,67 Renwick St REDFERN NSW 2016 AUSTRALIA,-33.8899487,151.2019094,"Renwick Street, Redfern, Sydney, Council of the City of Sydney, New South Wales, 2016, Australia"
ARM Architecture library,ARM Architecture,335797,"Level 11, 522 Flinders Lane Melbourne VIC 3000 AUSTRALIA",,,
ARPANSA Library Services,Australian Radiation Protection and Nuclear Safety Agency,6495,ARPANSA Library Services 619 Lower Plenty Road YALLAMBIE VIC 3085 AUSTRALIA,,,
ASCTA Library,Australian Swimming Coaches and Teachers Association,9596,"Level 1, 461 Olive Street ALBURY NSW 2640 AUSTRALIA",,,
ASEAN - China Business Services,,259297,40/14 Narabang Way BELROSE NSW 2085 AUSTRALIA,-33.7054516,151.2045299,"Narabang Way, Belrose, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2085, Australia"
ASHS Resource Centre,Atherton State High School,4694,Maunds Road ATHERTON QLD 4883 AUSTRALIA,-17.2579392,145.4896535,"Maunds Road, Atherton, Tablelands Regional, Queensland, 4883, Australia"
ASMS Library,Australian Science and Mathematics School,245838,Flinders University Sturt Road BEDFORD PARK NSW 5042 AUSTRALIA,,,
ASNSW Library,Astronomical Society of New South Wales Inc.,5680,Epping Creative Centre 26 Stanley Road EPPING NSW 2121 AUSTRALIA,,,
ASPIRE - Australian Suicide Prevention Information & Resource Exchange (CLOSED),Ministerial Council for Suicide Prevention,19777,WA AUSTRALIA,-25.2303005,121.0187246,"Western Australia, Australia"
ASRI Ltd Library,Australian Space Research Institute Ltd.,11915,"ANUTECH, LEVEL 2 CNR. Barry Drive. and Daley Road ACTON ACT 2600 AUSTRALIA",,,
AST Library,Astronomical Society of Tasmania,6930,C/- The Hutchins School Corner of Nelson Road & Churchill Avenue SANDY BAY TAS 7000 AUSTRALIA,,,
ASV Library,Astronomical Society of Victoria,5657,Great Melbourne Telescope (GMT) Old Melbourne Observatory MELBOURNE VIC 3000 AUSTRALIA,,,
ASX Research & Information,Australian Securities Exchange Limited,1703,Australian Securities Exchange 20 Bridge Street SYDNEY NSW 2000 AUSTRALIA,-33.863451,151.2084318,"Australian Securities Exchange, 20, Bridge Street, Quay Quarter, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia"
ATBC Library,Australian Thoroughbred Breeders Club Ltd,5672,Hawlesbury Racecourse Turnstyle Building Racecourse Road CLARENDON NSW 2756 AUSTRALIA,,,
AUSOM Libraries,Apple Users' Society of Melbourne,8112,"Ross House, 247 Flinders Lane MELBOURNE VIC 3000 AUSTRALIA",-37.81699315,144.96617859831798,"Ross House, 247-251, Flinders Lane, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
AUSTRAC Library,AUSTRAC,211660,AUSTRAC Library PO Box 1515 WEST CHATSWOOD NSW 1515 AUSTRALIA,,,
AWU Library,Australian Workers' Union,4587,"5th Floor, Macarthur Chambers, 201 Edward St BRISBANE QLD 4000 AUSTRALIA",,,
Abbey Museum Library,Abbey Museum of Art & Archaeology,6180,Old Toorbul Point Road CABOOLTURE QLD 4510 AUSTRALIA,-27.0534817,152.9885446,"Old Toorbul Point Road, Caboolture, Greater Brisbane, City of Moreton Bay, Queensland, 4510, Australia"
Aberdeen Library,Upper Hunter Shire Libraries,3839,Moray Street ABERDEEN NSW 2336 AUSTRALIA,-32.1640281,150.892279,"Moray Street, Aberdeen, Upper Hunter Shire Council, New South Wales, 2336, Australia"
Aberfoyle Park (The Hub) Library,City of Onkaparinga Libraries,6082,Hub Lane ABERFOYLE PARK SA 5159 AUSTRALIA,,,
Aberfoyle Park (The Hub) Toy and Sports and Recreation Equipment Library,City of Onkaparinga Libraries,339720,Hub Lane ABERFOYLE PARK SA 5159 AUSTRALIA,,,
Aboriginal Catholic Ministry Melbourne Library,Aboriginal Catholic Ministry Melbourne,4747,434 St George's Road THORNBURY VIC 3071 AUSTRALIA,,,
Aboriginal Education Resource Centre,Aboriginal Education Enfield ;NATSIEW,9356,5 Harewood Avenue ENFIELD SA 5085 AUSTRALIA,-34.8645612,138.6036907,"Harewood Avenue, Enfield, Adelaide, City of Port Adelaide Enfield, South Australia, 5085, Australia"
Aboriginal Employment Education & Development Branch,SA Department of Education and Children's Services,5702,221 Wakefield Street ADELAIDE SA 5000 AUSTRALIA,-34.9284919,138.6015803,"Wakefield Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Aboriginal Resource Centre,TAFE NSW,4239,c/o Dubbo Campus Library Myall Street DUBBO NSW 2830 AUSTRALIA,,,
"Aboriginal, Multicultural, Languages and Learning Resource Centre",,331617,Aboriginal Multicultural Languages & Learning Resource Centre 255 Torrens Rd WEST CROYDON SA 5008 AUSTRALIA,,,
Absolutely Wild Visuals Image Library,Wild Visuals Pty Ltd,19516,133 Dowling Street WOOLLOOMOOLOO NSW 2011 AUSTRALIA,-33.8698223,151.2215063,"Dowling Street, Woolloomooloo, Sydney, Council of the City of Sydney, New South Wales, 2011, Australia"
Acacia Ridge State School Library,Acacia Ridge State School,9776,Nyngam Street ACACIA RIDGE QLD 4110 AUSTRALIA,-27.5790041,153.0151169,"Nyngam Street, Acacia Ridge, Brisbane City, Queensland, 4110, Australia"
Academy BJE Library,Academy BJE,2299,56 Roscoe Street BONDI BEACH NSW 2026 AUSTRALIA,-33.8881403,151.2711241,"Roscoe Street, Six Ways, Bondi Beach, Eastern Suburbs, Sydney, Waverley Council, New South Wales, 2026, Australia"
"Academy Library, UNSW Canberra",,4078,"Academy Library, Bld 13 Document Services Unit, UNSW Canberra, Northcott Drive AUSTRALIAN DEFENCE FORCE ACADEMY ACT 2610 AUSTRALIA",,,
Academy of Traditional Chinese Medicine Library,Academy of Traditional Chinese Medicine,9860,Academy of Traditional Chinese Medicine Australia 96-98 Union Street NORTHCOTE VIC 3070 AUSTRALIA,,,
Activ Learning and Discover Centre,Activ,8916,71 Jarrah Road EAST VICTORIA PARK WA 6101 AUSTRALIA,-31.9913653,115.8889557,"Jarrah Road, East Victoria Park, Town of Victoria Park, Western Australia, 6101, Australia"
Ada Purnell Library,St Columba College,1511,Stirling Hwy NEDLANDS WA 6009 AUSTRALIA,-31.9773149,115.8138501,"Stirling Highway, Nedlands, Perth, City of Perth, Western Australia, 6009, Australia"
Adam Lindsay Gordon Commemorative Committee,,336201,PO Box 158 Flinders Lane Melbourne VIC AUSTRALIA,,,
Adamstown Library,Newcastle Region Libraries,3822,Corner of Brunker Road & Victoria Street ADAMSTOWN NSW 2289 AUSTRALIA,,,
Adelaide Campus,Alphacrucis College Limited,342120,1013 South Road MELROSE PARK SA 5039 AUSTRALIA,-34.9831749,138.5740765,"South Road, Melrose Park, Adelaide, City of Mitcham, South Australia, 5039, Australia"
Adelaide Catholic Archives,Catholic Archdiocese of Adelaide,16403,39 Wakefield St Adeleide SA 5000 AUSTRALIA,,,
Adelaide Central School of Art,,3951,7 Mulberry Rd GLENSIDE SA 5065 AUSTRALIA,-34.9430168,138.6288185,"Mulberry Road, Glenside development, Glenside, Adelaide, City of Burnside, South Australia, 5065, Australia"
Adelaide City Libraries - City Library,Adelaide City Libraries,8022,"Level 3, Rundle Place 77-91 Rundle Mall ADELAIDE SA 5000 AUSTRALIA",,,
Adelaide City Libraries - Hutt Street,Adelaide City Libraries,78684,235 Hutt Street ADELAIDE SA AUSTRALIA,-34.9334316,138.612166,"Adelaide City Council Library - Hutt Street, 235, Hutt Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Adelaide City Libraries - South West Community Centre,Adelaide City Libraries,339557,171 Sturt Street ADELAIDE SA 5000 AUSTRALIA,-34.9328687,138.6000316,"Sturt Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Adelaide City Libraries - Tynte Street,Adelaide City Libraries,7448,176 Tynte Street NORTH ADELAIDE SA 5006 AUSTRALIA,-34.9058604,138.5963383,"Tynte Street, North Adelaide, Adelaide, Adelaide City Council, South Australia, 5006, Australia"
Adelaide College of Ministries Library,Adelaide College of Ministries Inc.,9568,20A Fourth Avenue KLEMZIG SA AUSTRALIA,-34.8788299,138.6362219,"Fourth Avenue, Klemzig, Adelaide, City of Port Adelaide Enfield, South Australia, 5087, Australia"
Adelaide Connect,University of Adelaide,342740,University of Adelaide North Terrace ADELAIDE SA 5005 AUSTRALIA,-34.9189226,138.60423667410745,"University of Adelaide, North Terrace, Adelaide, Adelaide City Council, South Australia, 5005, Australia"
Adelaide Gem & Mineral Club Library,Adelaide Gem and Mineral Club,6904,19 Fourth Ave St. Peters SA 5069 AUSTRALIA,-34.9088586,138.6219446,"Fourth Avenue, St Peters, Adelaide, The City of Norwood Payneham and St Peters, South Australia, 5069, Australia"
Adelaide House Library,Adelaide House,4588,Todd Mall ALICE SPRINGS NT 0870 AUSTRALIA,-23.6973477,133.8839274,"Todd Mall, Alice Springs, Town of Alice Springs, Northern Territory, 4992, Australia"
Adelaide Library,Dentons Australia Pty Ltd,305283,Level 15 (Reception Floor) 211 Victoria Square ADELAIDE SA 5000 AUSTRALIA,,,
Adelaide Library,Fisher Jeffries (Solicitors),4127,SGIC Building 211 Victoria Square ADELAIDE SA 5000 AUSTRALIA,,,
Adelaide Office Library,Commonwealth Director of Public Prosecutions,6572,Level 15 100 King William St ADELAIDE SA 5000 AUSTRALIA,,,
Adelaide Office Library,National Archives of Australia,76751,78 Angas Street ADELAIDE SA 5000 AUSTRALIA,-34.9300737,138.6000544,"Angas Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Adelaide Registry Library,Administrative Review Tribunal,6907,"Level 2, 1 King William Street ADELAIDE SA 5000 AUSTRALIA",,,
Adelaide Remand Centre Library,Department of Justice Correctional Services South Australia,7759,208 Currie Street ADELAIDE SA 5000 AUSTRALIA,-34.9245415,138.597599,"Currie Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Adelaide River Community Library,NT Schools Palmerston and Rural Region,339091,C/- Post Office ADELAIDE RIVER NT 0846 AUSTRALIA,,,
Adelaide River School and Community Library,Adelaide River School & Community,6910,Stuart Highway ADELAIDE RIVER NT 0846 AUSTRALIA,-13.2401766,131.1071547,"Stuart Highway, Amangal, Adelaide River, Coomalie Shire, Northern Territory, 0846, Australia"
Adelaide Symphony Orchestra Library,Adelaide Symphony Orchestra,6983,91 Hindley St ADELAIDE SA 5000 AUSTRALIA,-34.9232923,138.5933634,"Hindley Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Adelaide Theological Library,,16214,312 Sir Donald Bradman Drive BROOKLYN PARK SA 5032 AUSTRALIA,-34.9325018,138.5420855,"Sir Donald Bradman Drive, Brooklyn Park, Adelaide, City of West Torrens, South Australia, 5032, Australia"
Adelaide Theosophical Society Library,The Theosophical Society in Australia,3669,310 South Terrace ADELAIDE SA 5000 AUSTRALIA,-34.9356522,138.6006696,"South Terrace, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Adelaide Women's Prison Library,Department of Justice Correctional Services South Australia,6651,Grand Junction Road NORTHFIELD SA 5085 AUSTRALIA,-34.8473646,138.6204706,"Grand Junction Road, Northfield, Adelaide, City of Port Adelaide Enfield, South Australia, 5085, Australia"
Adelong Library,Riverina Regional Library,8841,Tumut Street ADELONG NSW 2799 AUSTRALIA,-35.3087583,148.0663141,"Tumut Street, Adelong, Snowy Valleys Council, New South Wales, 2729, Australia"
Adelong Public School Library,Adelong Public School,4703,Gilmore Street ADELONG NSW 2729 AUSTRALIA,-35.3132041,148.0635911,"Gilmore Street, Adelong, Snowy Valleys Council, New South Wales, 2729, Australia"
Adult Education Vocational Training Institute BCC Library,Bathurst Correctional Complex,8321,Cnr Browning Street and Brook Moore Avenue BATHURST NSW 2795 AUSTRALIA,,,
Advertiser Newspapers Library,Advertiser Newspapers Ltd.,6915,The Advertiser 31 Waymouth Street ADELAIDE SA 5000 AUSTRALIA,,,
Adyar Lending Library,The Theosophical Society in Australia,5319,"3rd Floor, 484 Kent Street SYDNEY NSW 2000 AUSTRALIA",,,
Aeronautical & Maritime Research Laboratory Library,Aeronautical & Maritime Research Laboratory,2687,506 Lorimer Street FISHERMENS BEND VIC 3207 AUSTRALIA,,,
Agnes Water Library,Gladstone Regional Council Libraries,7532,Rural Transaction Centre 3 Captain Cook Drive AGNES WATER QLD 4677 AUSTRALIA,,,
Agritechnology Pty Ltd,,332777,36 Underwood Road ORANGE NSW 2800 AUSTRALIA,,,
Airservices Australia Library,Airservices Australia,6899,"Plaza Level, Alan Woods Building 25 Constitution Avenue CANBERRA ACT 2601 AUSTRALIA",,,
Alanvale Library (Launceston),TasTAFE Libraries,6186,Alanvale Road NEWNHAM TAS 7248 AUSTRALIA,-41.3955867,147.12607,"Alanvale Road, Newnham, Launceston, City of Launceston, Tasmania, 7248, Australia"
Albany Creek Library,Moreton Bay Region Libraries,8730,16 Ferguson Street ALBANY CREEK QLD 4035 AUSTRALIA,-27.34475415,152.9681453445943,"Albany Creek Library, 16, Ferguson Street, Albany Creek, Greater Brisbane, City of Moreton Bay, Queensland, 4035, Australia"
Albany Creek State High School Library,Albany Creek High School,8080,Albany Forest Drive ALBANY CREEK QLD 4035 AUSTRALIA,-27.3557135,152.9613538,"Albany Forest Drive, Albany Creek, Greater Brisbane, City of Moreton Bay, Queensland, 4035, Australia"
Albany Historical Society Inc.,,9906,37 Duke Street ALBANY WA 6330 AUSTRALIA,-35.0266406,117.8806201,"Duke Street, Albany, City Of Albany, Western Australia, 6330, Australia"
Albany Public Library,Albany Public Library,7131,221 York Street ALBANY WA 6330 AUSTRALIA,-35.0230084,117.8831479,"Albany Public Library, 221, York Street, Albany, City Of Albany, Western Australia, 6330, Australia"
Albany Regional Family History Society Inc. Library,Albany Regional Family History Society Inc,6339,"""The Chalet"" off Chipana Drive Little Grove ALBANY WA 6331 AUSTRALIA",,,
Albert Park Library,Port Phillip Library Service,3674,cnr Montague Street and Dundas Place ALBERT PARK VIC 3206 AUSTRALIA,,,
Albert Park-South Melbourne Rowing Club,,338338,Aughtie Drive Albert Park Lake ALBERT PARK VIC 3206 AUSTRALIA,,,
Albion Park Library,Shellharbour City Council,8888,Russell Street ALBION PARK NSW 2527 AUSTRALIA,-34.5727137,150.7735189,"Russell Street, Albion Park, Shellharbour City Council, New South Wales, 2527, Australia"
Albion Street Centre Library,Albion Street Centre,9720,150 - 154 Albion Street SURRY HILLS NSW 2010 AUSTRALIA,-33.8830435,151.2116173,"Albion Street, Strawberry Hills, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
Albury Campus Library,TAFE NSW,5857,Poole Street ALBURY NSW 2640 AUSTRALIA,-36.0704653,146.9170778,"Poole Street, Albury, Albury City Council, New South Wales, 2640, Australia"
Albury High School Library,Albury High School,7801,Kiewa Street ALBURY NSW 2640 AUSTRALIA,-36.0847863,146.9149047,"Kiewa Street, Albury, Albury City Council, New South Wales, 2640, Australia"
Albury Library Museum Digital Collections,Albury LibraryMuseum Digital Collections,340602,540 Kiewa Street ALBURY NSW AUSTRALIA,-36.0765591,146.9164243,"Kiewa Street, Albury, Albury City Council, New South Wales, 2640, Australia"
Albury LibraryMuseum,AlburyCity libraries,326097,540 Kiewa Street ALBURY NSW 2640 AUSTRALIA,-36.0847863,146.9149047,"Kiewa Street, Albury, Albury City Council, New South Wales, 2640, Australia"
